file,status,error,bank_name,year,presence,tokens,out_tokens
y6report-_1125423_CORNERSTONE-BC_2020,passed,,"CornerStone Bancorporation, Inc.",2020,both,4749,784
y6report_1020751_ORONO-FNCL_2013,passed,,"ORONO FINANCIAL, INC.",2013,both,5399,1620
y6report_1020751_ORONO-FNCL_2014,passed,,"ORONO FINANCIAL, INC.",2014,both,26306,1694
y6report_1020751_ORONO-FNCL_2015,passed,,"Orono Financial, Inc",2015,both,15551,1664
y6report_1020920_CENTRAL-TC_2013,passed,,Central Trust Company,2013,both,117740,2137
y6report_1020920_CENTRAL-TC_2014,passed,,Central Trust Company,2014,both,125358,1214
y6report_1020920_CENTRAL-TC_2015,passed,,CENTRAL TRUST COMPANY,2015,both,116395,1547
y6report_1020920_CENTRAL-TC_2016,passed,,Central Trust Company,2016,both,148618,1575
y6report_1020920_CENTRAL-TC_2017,passed,,Central Trust Company,2017,both,120638,1806
y6report_1020920_CENTRAL-TC_2018,passed,,Central Trust Company,2018,both,115485,1374
y6report_1020920_CENTRAL-TC_2019,passed,,Central Trust Company,2019,both,119163,1508
y6report_1020920_CENTRAL-TC_2020,passed,,Central Trust Company,2020,both,112484,1584
y6report_1020920_CENTRAL-TC_2021,passed,,Central Trust Company,2021,both,97898,1499
y6report_1020920_CENTRAL-TC_2022,passed,,Central Trust Company,2022,insiders,15292,1617
y6report_1020920_CENTRAL-TC_2023,passed,,Central Trust Company,2023,insiders,5502,1568
y6report_1020920_CENTRAL-TC_2024,failed,"504 Gateway Timeout. {'message': '<html>\r\n<head><title>504 Gateway Time-out</title></head>\r\n<body>\r\n<center><h1>504 Gateway Time-out</h1></center>\r\n</body>\r\n</html>\r\n', 'status': 'Gateway Timeout'}",,,,,
y6report_1119794_U-S-BC_2013,passed,,U.S. Bancorp,2013,both,369227,4383
y6report_1119794_U-S-BC_2014,passed,,U.S. Bancorp,2014,both,229651,5271
y6report_1119794_U-S-BC_2015,passed,,U.S. Bancorp,2015,both,324787,4449
y6report_1119794_U-S-BC_2016,passed,,U.S. Bancorp,2016,both,352962,4480
y6report_1119794_U-S-BC_2017,passed,,U.S. Bancorp,2017,both,184212,4569
y6report_1119794_U-S-BC_2018,passed,,U.S. Bancorp,2018,both,150799,4776
y6report_1119794_U-S-BC_2019,passed,,U.S. Bancorp,2019,both,175589,4633
y6report_1119794_U-S-BC_2020,passed,,U.S. Bancorp,2020,both,135009,3819
y6report_1119794_U-S-BC_2021,passed,,U.S. Bancorp,2021,both,83276,5459
y6report_1119794_U-S-BC_2022,passed,,U.S. Bancorp,2022,both,209158,5844
y6report_1119794_U-S-BC_2023,passed,,U.S. Bancorp,2023,both,141691,3765
y6report_1121229_DACOTAH-BKS_2013,failed,"400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'The input token count (1651409) exceeds the maximum number of tokens allowed (1048575).', 'status': 'INVALID_ARGUMENT'}, 'modelVersion': 'gemini-2.0-flash'}",,,,,
y6report_1121229_DACOTAH-BKS_2014,failed,"400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'The input token count (2664392) exceeds the maximum number of tokens allowed (1048575).', 'status': 'INVALID_ARGUMENT'}, 'modelVersion': 'gemini-2.0-flash'}",,,,,
y6report_1121229_DACOTAH-BKS_2015,failed,"400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'The input token count (1724725) exceeds the maximum number of tokens allowed (1048575).', 'status': 'INVALID_ARGUMENT'}, 'modelVersion': 'gemini-2.0-flash'}",,,,,
y6report_1121229_DACOTAH-BKS_2016,failed,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_paid_tier_input_token_count', 'quotaId': 'GenerateContentPaidTierInputTokensPerModelPerMinute', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.0-flash'}, 'quotaValue': '4000000'}]}, {'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '46s'}]}, 'modelVersion': 'gemini-2.0-flash'}",,,,,
y6report_1121229_DACOTAH-BKS_2018,failed,"400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'The input token count (1655870) exceeds the maximum number of tokens allowed (1048575).', 'status': 'INVALID_ARGUMENT'}, 'modelVersion': 'gemini-2.0-flash'}",,,,,
y6report_1121229_DACOTAH-BKS_2019,failed,"400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'The input token count (1969054) exceeds the maximum number of tokens allowed (1048575).', 'status': 'INVALID_ARGUMENT'}, 'modelVersion': 'gemini-2.0-flash'}",,,,,
y6report_1121229_DACOTAH-BKS_2020,failed,"400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'The input token count (1627485) exceeds the maximum number of tokens allowed (1048575).', 'status': 'INVALID_ARGUMENT'}, 'modelVersion': 'gemini-2.0-flash'}",,,,,
